math,physics,chemistry,biology,economics,indonesian,english,interest_tech,interest_data_ai,interest_engineering,interest_social,interest_communication,interest_law_politics,interest_nature_health,interest_business,interest_arts,interest_education_language,sma_track,major,cluster
66.9689915830184,68.21461150919454,59.81461244611112,53.103503697351286,90.13973440442619,74.72643012329296,90.37843008384401,0,1,0,0,0,1,0,0,0,0,Bahasa,Akuntansi,Business
90.3792525108795,59.80438545002714,72.17862449975595,65.14906835687552,85.83278750669413,73.89647108008175,94.57051918347136,0,1,1,0,0,0,0,1,0,0,IPS,Manajemen,Business
79.08199853679032,81.2688108791369,68.24868470216923,62.22860731609445,80.11188177492234,78.69266501284348,85.39972717948919,0,0,0,0,1,0,0,1,0,0,Bahasa,Sistem Informasi,STEM
65.34759495187937,56.7585366231183,62.65882085893698,67.49024421120973,69.1442215550748,96.92213198163955,93.33426529752191,0,0,0,0,1,0,0,0,0,0,IPA,Ilmu Komunikasi,Social
83.30864898384733,71.50602935342042,76.39471688434726,54.59186155454905,73.10145632419565,79.8310043081637,69.71486344059105,1,0,0,0,0,0,0,0,0,0,Bahasa,Sistem Informasi,STEM
48.56736943183503,54.02157191022088,55.63390348045489,61.039730336927974,72.28503770792453,84.07335898360066,100.0,0,1,0,0,0,0,0,0,0,1,Bahasa,Pendidikan Bahasa Inggris,Social
74.5396365285429,76.76900196724485,96.7160160225805,94.10841345023373,52.68169357589631,81.29667553678563,68.41397842509711,0,0,0,0,0,0,1,0,0,1,IPS,Biologi,Health
60.12571438138108,51.45434822293932,45.532661762264986,68.19902378794053,82.43521939781282,97.43233276930937,80.53235736177707,0,0,0,1,1,0,0,0,0,0,IPA,Ilmu Komunikasi,Social
47.189986047229176,47.94965274095926,59.836323193058874,79.43230147101083,61.37599583375074,83.79746040458886,75.20993060179566,0,0,0,0,0,0,0,0,1,0,Bahasa,Desain Komunikasi Visual,Arts
75.928533526652,53.257501822259115,71.987743236984,71.64731890313762,75.40322483282388,78.33190810544865,74.52051364510758,0,0,0,1,0,0,0,0,0,0,IPS,Psikologi,Social
82.17263909140293,73.77614034775826,69.80447871608145,67.5811968787864,71.11116079265953,66.62422725679365,59.72442659625633,1,0,0,0,1,0,0,0,0,0,IPS,Sistem Informasi,STEM
78.24811653772304,93.91603306486644,96.93092987988032,80.51288844953129,64.72885211544445,67.06389260088207,66.16953984362515,0,0,0,0,0,0,1,0,1,0,IPS,Farmasi,Health
63.109975858725285,57.67034881524188,62.13959366995546,71.166177222498,77.8245482034538,71.37849378049145,100.0,0,0,0,0,1,0,0,0,0,1,Bahasa,Pendidikan Bahasa Inggris,Social
81.19654840617521,63.78386844023817,68.55935664795861,51.39003839744986,73.985953217492,79.17626640012394,86.444656709201,0,0,0,0,0,0,0,1,0,0,IPS,Sistem Informasi,STEM
